Año	Mes	Nro. Edicto	Proceso	Expediente	Sentencia	Fecha Radicación	Fecha Decisión	Fijación Edicto 
2015	Enero	1	D	9441	C-434/13	19/11/2012	10/07/2013	13/01/2015
2015	Enero	2	D	10272	C-960/14	16/05/2014	10/12/2014	13/01/2015
2015	Enero	3	D	10283	C-961/14	26/05/2014	10/12/2014	13/01/2015
2015	Enero	4	D	10229	C-880/14	05/05/2014	19/11/2014	14/01/2015
2015	Enero	5	D	9996	C-385/14	07/11/2013	25/06/2014	20/01/2015
2015	Enero	6	D	10165	C-879/14	12/05/2014	19/11/2014	22/01/2015
2015	Enero	7	D	10176	C-796/14	17/03/2014	30/10/2014	22/01/2015
2015	Enero	8	D	10273	C-881/14	16/05/2014	19/11/2014	26/01/2015
2015	Enero	9	PE	41	C-951/14	10/07/2013	04/12/2014	27/01/2015
2015	Enero	10	D	10313	C-020/15	12/06/2014	21/01/2015	28/01/2015
2015	Enero	11	D	10062	C-933/14	13/12/2013	03/12/2014	28/01/2015
2015	Enero	12	D	9590	C-848/14	18/03/2013	12/11/2014	29/01/2015
2015	Febrero	13	LAT	427	C-947/14	18/12/2013	04/12/2014	02/02/2015
2015	Febrero	14	D	10279	C-957/14	21/05/2014	10/12/2014	02/02/2015
2015	Febrero	15	D	10328	C-021/15	01/07/2014	21/01/2015	10/02/2015
2015	Febrero	16	D	10405	C-022/15	30/07/2014	21/01/2015	10/02/2015
2015	Febrero	17	D	10243	C-931/14	14/05/2014	03/12/2014	12/02/2015
2015	Febrero	18	D	10319	C-035/15	16/06/2014	28/01/2015	13/02/2015
2015	Febrero	19	D	10316	C-017/15	13/06/2014	21/01/2015	13/02/2015
2015	Febrero	20	D	10105	C-635/14	30/01/2014	03/09/2014	16/02/2015
2015	Febrero	21	D	9878	C-264/14	02/08/2013	29/04/2014	18/02/2015
2015	Febrero	22	D	9834	C-235/14	02/08/2013	09/04/2014	20/02/2015
2015	Febrero	23	D	9930	C-286/14	30/09/2013	20/05/2014	20/02/2015
2015	Febrero	24	D	10299	C-959/14	04/06/2014	10/12/2014	20/02/2015
2015	Marzo	25	D	10194	C-786/14	02/04/2014	22/10/2014	04/03/2015
2015	Marzo	26	D	10234	C-932/14	02/05/2014	03/12/2014	04/03/2015
2015	Marzo	27	D	10280	C-041/15	22/05/2014	04/02/2015	04/03/2015
2015	Marzo	28	D	10307	C-044/15	10/06/2014	11/02/2015	04/03/2015
2015	Marzo	29	D	10324	C-050/15	25/06/2014	11/02/2015	04/03/2015
2015	Marzo	30	D	10226	C-948/14	28/04/2014	03/12/2014	05/03/2015
2015	Marzo	31	D	10069	C-665/14	18/12/2013	10/09/2014	13/03/2015
2015	Marzo	32	D	10404	C-103/15	29/07/2014	11/03/2015	20/03/2015
2015	Marzo	33	D	10309	C-018/15	10/06/2014	21/01/2015	27/03/2015
2015	Abril	34	D	10438	C-091/15	26/08/2014	04/03/2015	08/04/2015
2015	Abril	35	D	10298	C-019/15	06/06/2014	21/01/2015	10/04/2015
2015	Abril	36	D	10217	C-048/15	21/04/2014	11/02/2015	10/04/2015
2015	Abril	37	D	10346	C-083/15	11/07/2014	24/02/2015	10/04/2015
2015	Abril	38	LAT	428	C-049/15	18/12/2013	11/02/2015	10/04/2015
2015	Abril	39	D	10349	C-102/15	15/07/2014	11/03/2015	10/04/2015
2015	Abril	40	LAT	432	C-930/14	24/04/2014	03/12/2014	13/04/2015
2015	Abril	41	D	10138	C-793/14	21/02/2014	29/10/2014	14/04/2015
2015	Abril	42	D	10225	C-958/14	24/04/2014	10/12/2014	14/04/2015
2015	Abril	43	D	10442	C-145/15	27/08/2014	06/04/2015	14/04/2015
2015	Abril	44	LAT	430	C-667/14	18/12/2013	10/09/2014	15/04/2015
2015	Abril	45	D	10348	C-094/15	15/07/2014	10/03/2015	15/04/2015
2015	Abril	46	D	10432	C-147/15	21/08/2014	07/04/2015	17/04/2015
2015	Abril	47	D	10411	C-148/15	04/08/2014	07/04/2015	17/04/2015
2015	Abril	48	D	10079	C-870/14	16/01/2014	13/11/2014	20/04/2015
2015	Abril	48	D	10093	C-870/14	24/01/2014	13/11/2014	20/04/2015
2015	Abril	48	D	10096	C-870/14	27/01/2014	13/11/2014	20/04/2015
2015	Abril	49	D	10045	C-792/14	04/12/2013	29/10/2014	22/04/2015
2015	Abril	50	D	10397	C-090/15	28/07/2014	04/03/2015	29/04/2015
2015	Abril	51	PE	38	C-150/15	04/07/2012	08/04/2015	30/04/2015
2015	Mayo	52	D	10422	C-166/15	15/08/2014	15/04/2015	04/05/2015
2015	Mayo	53	D	10461	C-219/15	09/09/2014	22/04/2015	04/05/2015
2015	Mayo	54	D	9768	C-465/14	28/06/2013	09/07/2014	05/05/2015
2015	Mayo	55	D	10444	C-165/15	28/08/2014	15/04/2015	05/05/2015
2015	Mayo	56	D	10118	C-671/14	07/02/2014	10/09/2014	06/05/2015
2015	Mayo	57	D	10425	C-146/15	15/08/2014	07/04/2015	07/05/2015
2015	Mayo	58	D	10394	C-142/15	23/07/2014	06/04/2015	08/05/2015
2015	Mayo	59	D	10481	C-228/15	30/09/2014	29/04/2015	11/05/2015
2015	Mayo	60	D	10452	C-262/15	04/09/2014	06/05/2015	13/05/2015
2015	Mayo	61	D	10125	C-052/15	13/02/2014	12/02/2015	13/05/2015
2015	Mayo	62	D	9509	C-834/13	15/01/2013	20/11/2013	15/05/2015
2015	Mayo	63	D	9779	C-133/14	09/07/2013	11/03/2014	19/05/2015
2015	Mayo	64	D	10127	C-669/14	17/02/2014	10/09/2014	19/05/2015
2015	Mayo	65	LAT	434	C-163/15	02/07/2014	15/04/2015	19/05/2015
2015	Mayo	66	D	10445	C-218/15	28/08/2014	22/04/2015	19/05/2015
2015	Mayo	67	D	10462	C-257/15	12/09/2014	06/05/2015	19/05/2015
2015	Mayo	68	D	10453	C-259/15	05/09/2014	06/05/2015	19/05/2015
2015	Mayo	69	D	10443	C-260/15	28/08/2014	06/05/2015	19/05/2015
2015	Mayo	70	D	10528	C-229/15	30/10/2014	29/04/2015	25/05/2015
2015	Mayo	71	D	10353	C-164/15	16/07/2014	15/03/2015	26/05/2015
2015	Mayo	72	D	10455	C-284/15	08/09/2014	13/05/2015	27/05/2015
2015	Mayo	73	D	10465	C-220/15	15/09/2014	22/04/2015	28/05/2015
2015	Mayo	74	D	10470	C-285/15	17/09/2014	13/05/2015	29/05/2015
2015	Junio	75	D	10484	C-292/15	03/10/2014	20/05/2015	01/06/2015
2015	Junio	76	LAT	418	C-217/15	18/07/2013	22/04/2015	03/06/2015
2015	Junio	77	D	10092	C-227/15	23/01/2014	29/04/2015	10/06/2015
2015	Junio	78	D	10473	C-291/15	22/09/2014	20/05/2015	12/06/2015
2015	Junio	79	D	10391	C-261/15	23/07/2014	06/05/2015	12/06/2015
2015	Junio	80	D	10483	C-329/15	02/10/2014	27/05/2015	16/06/2015
2015	Junio	81	LAT	436	C-337/15	10/09/2014	03/06/2015	16/06/2015
2015	Junio	82	D	10519	C-352/15	23/10/2014	10/06/2015	16/06/2015
2015	Junio	83	D	10489	C-328/15	14/08/2014	27/05/2015	22/06/2015
2015	Junio	84	D	10514	C-353/15	21/10/2014	10/06/2015	30/06/2015
2015	Julio	85	D	10536	C-387/15	06/11/2014	24/06/2015	01/07/2015
2015	Julio	86	LAT	433	C-286/15	26/06/2014	13/05/2015	02/07/2015
2015	Julio	87	D	10341	C-258/15	09/07/2014	06/05/2015	03/07/2015
2015	Julio	88	D	10494	C-410/15	17/10/2014	01/07/2015	21/07/2015
2015	Julio	89	D	10310	C-385/15	11/06/2014	24/06/2015	22/07/2015
2015	Julio	90	D	10501	C-386/15	21/10/2014	24/06/2015	22/07/2015
2015	Julio	91	D	10513	C-424/15	21/10/2014	08/07/2015	27/07/2015
2015	Julio	92	D	10487	C-447/15	09/10/2014	15/07/2015	27/07/2015
2015	Julio	93	D	10537	C-448/15	06/11/2014	15/07/2015	30/07/2015
2015	Julio	94	D	10547	C-449/15	19/11/2014	16/07/2015	31/07/2015
2015	Julio	95	D	10485	C-412/15	03/10/2014	01/07/2015	31/07/2015
2015	Agosto	96	D	10552	C-457/15	21/11/2014	22/07/2015	06/08/2015
2015	Agosto	97	D	10563	C-451/15	26/11/2014	16/07/2015	10/08/2015
2015	Agosto	98	D	10576	C-456/15	28/11/2014	22/07/2015	11/08/2015
2015	Agosto	99	D	10553	C-474/15	21/11/2014	29/07/2015	13/08/2015
2015	Agosto	100	D	10497	C-411/15	20/10/2014	01/07/2015	13/08/2015
2015	Agosto	101	D	10594	C-497/15	09/12/2014	05/08/2015	18/08/2015
2015	Agosto	102	D	9537	C-354/15	08/02/2013	10/06/2015	18/08/2015
2015	Agosto	103	D	10607	C-498/15	15/12/2014	05/08/2015	19/08/2015
2015	Agosto	104	D	10626	C-499/15	15/01/2015	05/08/2015	19/08/2015
2015	Agosto	105	D	10559	C-492/15	24/11/2014	05/08/2015	19/08/2015
2015	Agosto	105	D	10581	C-492/15	01/12/2014	05/08/2015	19/08/2015
2015	Agosto	106	D	10645	C-532/15	28/01/2015	19/08/2015	27/08/2015
2015	Agosto	107	D	10588	C-531/15	03/12/2014	19/08/2015	28/08/2015
